country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,1860,1650,1520,1010,721,1030,942,865,800,735,687,646,1020,1060,1030,1100,1120,1250,1270,1500,1670
Albania,4460,3230,3020,3320,3620,4130,4530,4060,4450,5060,5440,5950,6240,6610,7000,7430,7910,8450,9160,9530,9930
Algeria,10300,9930,9870,9450,9170,9340,9560,9510,9840,10000,10300,10400,10900,11500,11800,12400,12400,12600,12700,12700,12900
Andorra,28400,28000,27200,26000,25900,26100,27200,29700,30800,31900,31700,31800,31900,34500,36300,39800,42700,43400,41400,41700,39000
Angola,4760,4650,4240,3120,3060,3410,3750,3890,3950,3900,3890,3920,4320,4300,4610,5110,5500,6040,6470,6290,6360
Antigua and Barbuda,17500,17600,17500,18100,18900,17700,18400,19000,19500,19800,20800,19500,19400,20300,21200,22200,24700,26500,26100,22600,20700
Argentina,11400,12200,13000,13900,14500,14000,14600,15600,16000,15300,15000,14200,12500,13400,14500,15600,16700,18000,18600,17300,18900
Armenia,3740,3340,1980,1850,1990,2170,2340,2440,2640,2740,2930,3220,3670,4210,4670,5360,6110,7010,7560,6530,6700
Australia,28700,28200,28000,28800,29600,30400,31200,32100,33200,34500,35400,35600,36600,37200,38300,39000,39500,40700,41400,41300,41500
Austria,31300,32100,32400,32300,33000,33800,34500,35200,36400,37700,38800,39200,39600,39800,40700,41300,42500,43900,44400,42700,43300
Azerbaijan,8790,8590,6550,4960,3930,3430,3440,3600,3920,4180,4600,5020,5450,5970,6460,8180,10900,13500,14600,15700,16200
Bahamas,31000,29200,27500,27100,27500,28200,29000,29300,30300,32100,33000,33300,33700,32700,32400,32800,33000,32900,31500,29700,29700
Bahrain,35100,38000,39500,43500,42300,42900,43500,43600,44300,44600,44900,43900,43100,43200,43400,43200,42700,42800,42200,40700,40600
Bangladesh,1330,1340,1380,1420,1440,1480,1520,1550,1600,1640,1690,1750,1780,1830,1900,1990,2100,2220,2320,2410,2520
Barbados,14100,13500,12500,12600,13100,13300,13700,14300,14800,14800,15400,15000,15000,15300,15500,16000,16900,17100,17000,16300,16300
Belarus,8370,8260,7450,6870,6070,5460,5630,6300,6860,7130,7570,7970,8430,9090,10200,11200,12400,13600,15000,15100,16300
